,variables,VIF
267,0__time_reversal_asymmetry_statistic__lag_3,87778344408.02814
268,"0__fft_coefficient__attr_""angle""__coeff_12",1888.0915267388536
269,0__ar_coefficient__coeff_4__k_10,4.95214417234416
270,0__partial_autocorrelation__lag_9,2.248990536478268
271,"0__fft_aggregated__aggtype_""kurtosis""",75.73217542674584
272,"0__agg_autocorrelation__f_agg_""var""__maxlag_40",9.421867201490752
273,0__ratio_beyond_r_sigma__r_1,9.615234766072817
274,0__partial_autocorrelation__lag_6,9.873643467552997
275,0__autocorrelation__lag_5,14.041812152964606
276,0__binned_entropy__max_bins_10,7.4836083612758655
277,0__partial_autocorrelation__lag_3,17.939213643225987
278,"0__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",27.643947319649246
279,"0__fft_aggregated__aggtype_""variance""",177.522139246355
280,"0__fft_coefficient__attr_""imag""__coeff_4",4227969818.934517
281,0__c3__lag_2,5991.320080318614
282,"0__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",63.80882466048179
283,"0__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",3.6668451685808954
284,"0__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0",3.0685144592140183
285,"0__cwt_coefficients__coeff_11__w_2__widths_(2, 5, 10, 20)",75374729.13661386
286,"0__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",124.11430504872344
287,"0__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",125.51890535175671
288,"0__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",25.11685405598465
289,0__symmetry_looking__r_0.1,3.6754855552992063
290,"0__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",1259.8040377266707
291,"0__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",1479.9812002254773
292,0__ar_coefficient__coeff_10__k_10,183.42699252387533
293,"0__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",18.983256648740003
294,0__ar_coefficient__coeff_5__k_10,7.057792291399549
295,"0__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6",53.856104004996865
