,variables,VIF
351,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.4",31.556092540613566
352,0__c3__lag_3,2.916436430378722
353,"0__fft_coefficient__attr_""imag""__coeff_11",9007199254740992.0
354,0__partial_autocorrelation__lag_4,13.02729030815396
355,"0__fft_coefficient__attr_""real""__coeff_12",inf
356,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4",18.759459415728134
357,"0__fft_coefficient__attr_""real""__coeff_6",4503599627370496.0
358,0__autocorrelation__lag_4,23.217522026461015
359,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6",17.788153326349473
360,"0__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2",2.586230385072489
361,"0__fft_coefficient__attr_""real""__coeff_10",11682489305760.041
362,"0__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.2",2.7216030949954466
363,0__index_mass_quantile__q_0.8,20.041014045707545
364,0__friedrich_coefficients__coeff_3__m_3__r_30,301722.6720089358
365,0__friedrich_coefficients__coeff_1__m_3__r_30,379493.2235479067
366,0__friedrich_coefficients__coeff_0__m_3__r_30,297145.0634242434
367,0__large_standard_deviation__r_0.30000000000000004,1.6824405587197488
368,0__friedrich_coefficients__coeff_2__m_3__r_30,432646.57905407285
369,0__max_langevin_fixed_point__m_3__r_30,189746.2453972698
370,y,1.8728331532252565
